millis,temp,output
154,19.38,0.00
1152,19.38,66.46
2148,19.41,66.46
3145,19.38,66.46
4143,19.38,66.46
5140,19.31,54.64
6136,19.31,54.64
7134,19.38,66.46
8131,19.41,66.46
9128,19.31,54.64
10126,19.45,54.64
11122,19.35,60.53
12120,19.38,60.53
13117,19.38,66.46
14114,19.41,66.46
15112,19.35,60.53
16108,19.21,60.53
17105,19.18,31.01
18103,19.14,31.01
19100,19.14,25.08
20098,19.08,25.08
21095,19.01,1.44
22091,18.94,1.44
23089,18.91,0.00
24086,18.87,0.00
25083,18.91,0.00
26080,18.84,0.00
27077,18.84,0.00
28075,18.77,0.00
29071,18.74,0.00
30068,18.77,0.00
31066,18.77,0.00
32063,18.70,0.00
33059,18.74,0.00
34057,18.74,0.00
35054,18.70,0.00
36051,18.70,0.00
37048,18.74,0.00
38045,18.77,0.00
39043,18.77,0.00
40040,18.74,0.00
41036,18.74,0.00
42034,18.77,0.00
43031,18.81,0.00
44028,18.77,0.00
45025,18.84,0.00
46022,18.81,0.00
47020,18.81,0.00
48016,18.84,0.00
49013,18.84,0.00
50011,18.87,0.00
51008,18.87,0.00
52004,18.84,0.00
53002,18.87,0.00
53999,18.91,0.00
54996,18.91,0.00
55993,18.87,0.00
56990,18.91,0.00
57988,18.91,0.00
58985,18.91,0.00
59981,18.94,0.00
60979,18.97,0.00
61976,19.14,0.00
62973,19.31,54.64
63970,19.35,54.64
64967,19.31,54.64
65965,19.41,54.64
66962,19.48,84.17
67959,19.51,84.17
68956,19.55,96.02
69953,19.58,96.02
70950,19.62,107.81
71948,19.62,107.81
72945,19.55,96.02
73943,19.58,96.02
74939,19.58,101.91
75936,19.58,101.91
76934,19.58,101.91
77931,19.65,101.91
78928,19.45,78.28
79926,19.35,78.28
80923,19.38,66.46
81920,19.35,66.46
82917,19.28,48.72
83914,19.28,48.72
84912,19.21,36.90
85909,19.21,36.90
86905,19.21,36.90
87903,19.08,36.90
88900,19.08,13.30
89897,19.01,13.30
90895,19.04,7.37
91891,19.14,7.37
92889,19.01,1.44
93886,19.08,1.44
94883,18.94,0.00
95880,18.97,0.00
96877,18.94,0.00
97874,18.94,0.00
98872,18.94,0.00
99868,18.94,0.00
100866,18.94,0.00
101863,18.97,0.00
102860,18.97,0.00
103857,19.01,0.00
