millis,temp,output
154,20.83,0.00
1152,20.83,255.00
2148,20.80,255.00
3145,20.83,255.00
4143,20.83,255.00
5140,20.83,255.00
6137,20.87,255.00
7134,20.87,255.00
8131,20.83,255.00
9128,20.83,255.00
10126,20.83,255.00
11123,20.83,255.00
12120,20.87,255.00
13117,20.83,255.00
14114,20.80,255.00
15112,20.70,255.00
16109,20.49,255.00
17106,20.39,243.76
18104,20.09,243.76
19100,20.09,190.57
20098,20.02,190.57
21095,19.85,149.22
22092,19.78,149.22
23090,19.62,107.81
24087,19.48,107.81
25084,19.45,78.28
26081,19.24,78.28
27078,19.18,31.01
28076,19.08,31.01
29073,18.97,0.00
30070,18.94,0.00
31067,18.77,0.00
32064,18.74,0.00
33061,18.74,0.00
34059,18.60,0.00
35055,18.57,0.00
36052,18.57,0.00
37050,18.50,0.00
38047,18.47,0.00
39044,18.47,0.00
40041,18.43,0.00
41038,18.40,0.00
42035,18.40,0.00
43032,18.43,0.00
44029,18.40,0.00
45027,18.33,0.00
46023,18.37,0.00
47021,18.43,0.00
48018,18.37,0.00
49015,18.40,0.00
50012,18.40,0.00
51009,18.40,0.00
52006,18.40,0.00
53004,18.47,0.00
54000,18.47,0.00
54998,18.43,0.00
55995,18.47,0.00
56992,18.54,0.00
57989,18.50,0.00
58986,18.47,0.00
59983,18.54,0.00
60981,18.60,0.00
61977,18.77,0.00
62974,18.97,0.00
63972,19.04,0.00
64968,19.08,13.30
65966,19.14,13.30
66963,19.18,31.01
67960,19.41,31.01
68958,19.28,48.72
69954,19.28,48.72
70951,19.35,60.53
71949,19.41,60.53
72946,19.48,84.17
73944,19.55,84.17
74941,19.58,101.91
75937,19.48,101.91
76935,19.62,107.81
77932,19.51,107.81
78929,19.55,96.02
79927,19.72,96.02
80924,19.65,113.73
81921,19.68,113.73
82918,19.62,107.81
83915,19.58,107.81
84913,19.55,96.02
85910,19.45,96.02
86907,19.48,84.17
87905,19.51,84.17
88901,19.48,84.17
89899,19.45,84.17
90896,19.41,72.35
91893,19.41,72.35
92891,19.35,60.53
93887,19.31,60.53
94884,19.21,36.90
95882,19.28,36.90
96879,19.31,54.64
97876,19.24,54.64
98874,19.14,25.08
99870,19.21,25.08
100868,19.21,36.90
101865,19.21,36.90
102862,19.21,36.90
103860,19.14,36.90
104857,19.11,19.19
105853,19.28,19.19
106851,19.18,31.01
107848,19.21,31.01
108846,19.14,25.08
109843,19.08,25.08
110840,19.08,13.30
111837,19.14,13.30
112834,19.01,1.44
113831,19.14,1.44
114829,19.08,13.30
115826,19.24,13.30
116824,18.97,0.00
117820,19.21,0.00
118817,19.21,36.90
119815,19.24,36.90
120812,19.18,31.01
121809,19.21,31.01
122807,19.31,54.64
123803,19.24,54.64
124801,19.28,48.72
125798,19.41,48.72
126795,19.28,48.72
127793,19.35,48.72
128790,19.38,66.46
129787,19.35,66.46
130785,19.31,54.64
131781,19.31,54.64
132779,19.31,54.64
133776,19.28,54.64
134773,19.31,54.64
135771,19.35,54.64
136768,19.35,60.53
137765,19.38,60.53
138762,19.35,60.53
139759,19.38,60.53
140756,19.38,66.46
141754,19.24,66.46
142751,19.28,48.72
143749,19.35,48.72
144746,19.24,42.82
145742,19.28,42.82
146740,19.24,42.82
147737,19.24,42.82
148734,19.24,42.82
149732,19.21,42.82
150729,19.21,36.90
151727,19.24,36.90
152723,19.28,48.72
153720,19.31,48.72
154718,19.18,31.01
155715,19.21,31.01
156712,19.28,48.72
157710,19.35,48.72
158707,19.24,42.82
159704,19.21,42.82
160701,19.14,25.08
161698,19.18,25.08
162696,19.18,31.01
163693,19.21,31.01
164690,19.21,36.90
165687,19.31,36.90
166684,19.24,42.82
167682,19.21,42.82
168679,19.21,36.90
169676,19.21,36.90
170674,19.18,31.01
171671,19.21,31.01
172668,19.21,36.90
173665,19.24,36.90
174662,19.21,36.90
175660,19.14,36.90
176657,19.21,36.90
177654,19.24,36.90
178652,19.28,48.72
179648,19.31,48.72
180645,19.21,36.90
181643,19.35,36.90
182640,19.24,42.82
183638,19.24,42.82
184635,19.24,42.82
185632,19.35,42.82
186630,19.28,48.72
187626,19.31,48.72
188623,19.18,31.01
189621,19.31,31.01
190618,19.28,48.72
191616,19.18,48.72
192613,19.28,48.72
193609,19.21,48.72
194607,19.21,36.90
195604,19.24,36.90
196601,19.28,48.72
197599,19.21,48.72
198596,19.24,42.82
199593,19.28,42.82
200591,19.18,31.01
201587,19.24,31.01
202585,19.31,54.64
203582,19.38,54.64
204579,19.28,48.72
205577,19.38,48.72
206574,19.28,48.72
207571,19.28,48.72
208568,19.28,48.72
209565,19.28,48.72
210563,19.28,48.72
211560,19.28,48.72
212557,19.24,42.82
213555,19.28,42.82
214552,19.21,36.90
215548,19.28,36.90
216546,19.24,42.82
217543,19.24,42.82
218541,19.28,48.72
219538,19.31,48.72
220535,19.24,42.82
221533,19.21,42.82
222529,19.28,48.72
223526,19.21,48.72
224524,19.18,31.01
225521,19.21,31.01
226519,19.18,31.01
227516,19.18,31.01
228513,19.24,42.82
229510,19.21,42.82
230507,19.21,36.90
231504,19.08,36.90
232502,19.14,25.08
233499,19.14,25.08
234497,19.21,36.90
235493,19.24,36.90
236490,19.14,25.08
237488,19.14,25.08
238485,19.24,42.82
239482,19.14,42.82
240480,19.21,36.90
241477,19.21,36.90
242475,19.24,42.82
243471,19.31,42.82
244468,19.18,31.01
245466,19.14,31.01
246463,19.21,36.90
247460,19.21,36.90
248458,19.28,48.72
249454,19.24,48.72
250451,19.14,25.08
251449,19.21,25.08
252446,19.21,36.90
253444,19.18,36.90
254441,19.24,42.82
255438,19.18,42.82
256436,19.24,42.82
257432,19.14,42.82
258429,19.24,42.82
259427,19.24,42.82
260424,19.35,60.53
261422,19.24,60.53
262419,19.18,31.01
263415,19.28,31.01
264413,19.24,42.82
265410,19.21,42.82
266407,19.28,48.72
267405,19.21,48.72
268402,19.21,36.90
269400,19.18,36.90
270397,19.28,48.72
271393,19.35,48.72
272391,19.24,42.82
273388,19.24,42.82
274385,19.24,42.82
275383,19.28,42.82
276380,19.18,31.01
277377,19.24,31.01
278374,19.14,25.08
279371,19.14,25.08
280369,19.24,42.82
281366,19.21,42.82
282363,19.21,36.90
283361,19.14,36.90
284358,19.14,25.08
285355,19.21,25.08
286352,19.18,31.01
287349,19.21,31.01
288347,19.21,36.90
289344,19.24,36.90
290341,19.21,36.90
291338,19.18,36.90
292335,19.21,36.90
293332,19.24,36.90
294330,19.24,42.82
295327,19.21,42.82
296325,19.21,36.90
297322,19.18,36.90
298318,19.24,42.82
299316,19.21,42.82
300313,19.24,42.82
301310,19.35,42.82
302308,19.24,42.82
303305,19.28,42.82
304303,19.18,31.01
305299,19.21,31.01
306296,19.21,36.90
307294,19.24,36.90
308291,19.28,48.72
309288,19.21,48.72
310286,19.21,36.90
311283,19.18,36.90
312281,19.28,48.72
313277,19.24,48.72
314274,19.21,36.90
315272,19.31,36.90
316269,19.24,42.82
317266,19.21,42.82
318264,19.18,31.01
319260,19.28,31.01
320258,19.21,36.90
321255,19.21,36.90
322252,19.14,25.08
323250,19.18,25.08
324247,19.24,42.82
325244,19.14,42.82
326242,19.24,42.82
327238,19.14,42.82
328236,19.21,36.90
329233,19.14,36.90
330230,19.28,48.72
331228,19.28,48.72
332225,19.24,42.82
333221,19.24,42.82
334219,19.18,31.01
335216,19.21,31.01
336214,19.04,7.37
337211,19.28,7.37
338208,19.24,42.82
339206,19.24,42.82
340202,19.28,48.72
341199,19.28,48.72
342197,19.21,36.90
343194,19.24,36.90
344192,19.18,31.01
345189,19.18,31.01
346186,19.21,36.90
347183,19.28,36.90
348180,19.31,54.64
349177,19.28,54.64
350175,19.18,31.01
351172,19.28,31.01
352169,19.21,36.90
353166,19.21,36.90
354163,19.28,48.72
355161,19.31,48.72
356158,19.24,42.82
357155,19.18,42.82
358153,19.18,31.01
359150,19.21,31.01
360147,19.31,54.64
361144,19.21,54.64
362141,19.04,7.37
363139,18.87,7.37
364136,18.74,0.00
365133,18.74,0.00
366130,18.60,0.00
367127,18.64,0.00
368124,18.54,0.00
369122,18.60,0.00
370119,18.50,0.00
371116,18.50,0.00
372113,18.50,0.00
373110,18.47,0.00
374108,18.50,0.00
375104,18.43,0.00
376101,18.50,0.00
377099,18.47,0.00
378096,18.47,0.00
379094,18.54,0.00
380090,18.47,0.00
381087,18.54,0.00
382085,18.54,0.00
383082,18.54,0.00
384078,18.60,0.00
385076,18.50,0.00
386073,18.60,0.00
387070,18.64,0.00
388068,18.57,0.00
389064,18.67,0.00
