millis,temp,output
154,22.25,0.00
1152,22.25,255.00
2148,22.25,255.00
3145,22.22,255.00
4143,22.22,255.00
5140,22.22,255.00
6137,22.25,255.00
7134,22.25,255.00
8131,22.25,255.00
9128,22.18,255.00
10126,22.22,255.00
11123,22.18,255.00
12121,22.25,255.00
13117,22.15,255.00
14114,21.98,255.00
15112,21.68,255.00
16109,21.41,255.00
17106,21.20,255.00
18104,20.90,255.00
19101,20.66,255.00
20098,20.49,255.00
21095,20.26,220.13
22092,20.09,220.13
23090,19.78,137.37
24087,19.55,137.37
25084,19.48,84.17
26081,19.24,84.17
27078,19.18,31.01
28076,18.87,31.01
29073,18.77,0.00
30070,18.54,0.00
31067,18.43,0.00
32064,18.30,0.00
33061,18.13,0.00
34059,18.13,0.00
35055,18.00,0.00
36052,17.93,0.00
37050,17.96,0.00
38046,17.89,0.00
39044,17.83,0.00
40041,17.86,0.00
41038,17.89,0.00
42035,17.86,0.00
43032,17.89,0.00
44029,17.89,0.00
45027,17.93,0.00
46023,17.93,0.00
47021,17.93,0.00
48018,18.00,0.00
49015,18.03,0.00
50012,18.06,0.00
51009,18.06,0.00
52006,18.10,0.00
53004,18.13,0.00
54000,18.20,0.00
54998,18.23,0.00
55995,18.23,0.00
56992,18.23,0.00
57989,18.27,0.00
58986,18.30,0.00
59983,18.37,0.00
60980,18.47,0.00
61977,18.70,0.00
62974,18.87,0.00
63972,18.94,0.00
64968,19.04,7.37
65966,19.08,7.37
66963,19.11,19.19
67960,19.31,19.19
68958,19.24,42.82
69954,19.41,42.82
70951,19.41,72.35
71949,19.62,72.35
72946,19.68,119.66
73944,19.68,119.66
74941,19.68,119.66
75937,19.85,119.66
76935,19.78,137.37
77932,19.68,137.37
78929,19.68,119.66
79927,19.75,119.66
80924,19.65,113.73
81922,19.65,113.73
82918,19.55,96.02
83915,19.51,96.02
84913,19.48,84.17
85910,19.35,84.17
86907,19.28,48.72
87904,19.14,48.72
88901,19.08,13.30
89899,19.11,13.30
90896,18.94,0.00
91893,18.94,0.00
92890,18.87,0.00
93887,18.84,0.00
94884,18.74,0.00
95882,18.77,0.00
96878,18.81,0.00
97875,18.74,0.00
98873,18.74,0.00
99870,18.81,0.00
100867,18.77,0.00
101864,18.81,0.00
102861,18.84,0.00
103859,18.91,0.00
104855,18.87,0.00
105852,18.94,0.00
106850,19.04,7.37
