millis,temp,output
154,20.16,0.00
1152,20.16,202.38
2148,20.09,202.38
3145,20.09,190.57
4143,20.09,190.57
5140,20.06,184.68
6137,20.06,184.68
7134,19.82,143.29
8131,19.78,143.29
9128,19.75,131.48
10126,19.62,131.48
11123,19.41,72.35
12121,19.31,72.35
13117,19.18,31.01
14114,19.18,31.01
15112,19.21,36.90
16109,19.35,36.90
17106,19.41,72.35
18103,19.45,72.35
19100,19.41,72.35
20098,19.28,72.35
21095,19.08,13.30
22092,18.77,13.30
23090,18.57,0.00
24086,18.27,0.00
25083,18.10,0.00
26081,17.93,0.00
27078,17.73,0.00
28075,17.59,0.00
29072,17.49,0.00
30069,17.42,0.00
31066,17.32,0.00
32063,17.22,0.00
33060,17.15,0.00
34058,17.12,0.00
35054,17.15,0.00
36051,17.12,0.00
37049,17.12,0.00
38046,17.15,0.00
39043,17.19,0.00
40040,17.15,0.00
41037,17.19,0.00
42035,17.19,0.00
43031,17.19,0.00
44028,17.19,0.00
45026,17.22,0.00
46023,17.25,0.00
47020,17.29,0.00
48017,17.29,0.00
49014,17.32,0.00
50012,17.35,0.00
51008,17.35,0.00
52005,17.42,0.00
53003,17.46,0.00
53999,17.49,0.00
54996,17.52,0.00
55994,17.56,0.00
56991,17.59,0.00
57988,17.62,0.00
58985,17.66,0.00
59982,17.69,0.00
60980,17.79,0.00
61976,18.00,0.00
62973,18.13,0.00
63971,18.23,0.00
64968,18.33,0.00
65965,18.43,0.00
66962,18.43,0.00
67959,18.50,0.00
68957,18.57,0.00
69953,18.64,0.00
70950,18.67,0.00
71948,18.74,0.00
72945,18.84,0.00
73942,18.91,0.00
74939,18.87,0.00
75936,18.97,0.00
76933,19.04,7.37
77930,19.11,7.37
78927,19.11,19.19
79925,19.14,19.19
80922,19.11,19.19
81918,19.18,19.19
82916,19.21,36.90
83913,19.35,36.90
84911,19.28,48.72
85908,19.31,48.72
86905,19.41,72.35
87902,19.35,72.35
88899,19.35,60.53
89896,19.58,60.53
90894,19.41,72.35
91891,19.45,72.35
92888,19.31,54.64
93885,19.45,54.64
94882,19.38,66.46
95880,19.38,66.46
96877,19.31,54.64
97873,19.38,54.64
98871,19.28,48.72
99868,19.28,48.72
100866,19.18,31.01
101863,19.18,31.01
102860,19.18,31.01
103857,19.11,31.01
104854,19.01,1.44
105851,19.04,1.44
106849,18.97,0.00
107846,18.91,0.00
108844,18.91,0.00
109840,18.87,0.00
110837,18.87,0.00
111835,18.87,0.00
112832,18.94,0.00
113828,18.91,0.00
114826,18.87,0.00
115823,18.81,0.00
116820,18.84,0.00
117818,18.87,0.00
118814,18.91,0.00
119812,18.94,0.00
120809,18.94,0.00
121806,18.97,0.00
122803,19.01,1.44
123800,19.04,1.44
124797,19.08,13.30
125795,19.21,13.30
126792,19.14,25.08
127790,19.24,25.08
128787,19.24,42.82
129783,19.21,42.82
130781,19.28,48.72
131778,19.38,48.72
132775,19.31,54.64
133773,19.45,54.64
134770,19.35,60.53
135768,19.48,60.53
136764,19.38,66.46
137761,19.45,66.46
138759,19.55,96.02
139756,19.38,96.02
140753,19.38,66.46
141751,19.41,66.46
142748,19.38,66.46
143745,19.35,66.46
144742,19.28,48.72
145739,19.21,48.72
146737,19.21,36.90
147734,19.14,36.90
148731,19.08,13.30
149728,19.08,13.30
150725,19.04,7.37
151723,18.94,7.37
152720,18.81,0.00
153717,18.87,0.00
154715,18.81,0.00
155711,18.77,0.00
156708,18.77,0.00
157706,18.77,0.00
158703,18.74,0.00
159699,18.74,0.00
160697,18.77,0.00
161694,18.84,0.00
162692,18.77,0.00
163689,18.84,0.00
164685,18.87,0.00
165683,18.91,0.00
166680,18.91,0.00
167677,18.94,0.00
168675,19.04,7.37
169671,18.94,7.37
170669,19.04,7.37
171666,19.08,7.37
172663,19.14,25.08
173661,19.14,25.08
174657,19.21,36.90
175654,19.24,36.90
176652,19.24,42.82
177649,19.35,42.82
178647,19.31,54.64
179644,19.41,54.64
180641,19.45,78.28
181638,19.38,78.28
182635,19.41,72.35
183632,19.41,72.35
184630,19.41,72.35
185627,19.41,72.35
186625,19.41,72.35
187622,19.38,72.35
188618,19.35,60.53
189616,19.35,60.53
190613,19.35,60.53
191610,19.18,60.53
192608,19.18,31.01
193605,19.18,31.01
194603,19.11,19.19
195599,19.11,19.19
196596,18.97,0.00
197594,18.94,0.00
198591,18.87,0.00
199588,18.87,0.00
200586,18.84,0.00
201582,18.84,0.00
202579,18.74,0.00
203577,18.74,0.00
204574,18.77,0.00
205571,18.77,0.00
206568,18.77,0.00
207565,18.81,0.00
208563,18.81,0.00
209560,18.84,0.00
210556,18.84,0.00
211554,18.87,0.00
212551,18.91,0.00
213549,18.97,0.00
214545,19.01,1.44
215542,19.01,1.44
216540,19.04,7.37
217537,19.01,7.37
218534,19.14,25.08
219532,19.14,25.08
220528,19.24,42.82
221526,19.21,42.82
222523,19.24,42.82
223520,19.35,42.82
224518,19.35,60.53
225515,19.38,60.53
226512,19.55,96.02
227509,19.45,96.02
228506,19.38,66.46
229504,19.55,66.46
230501,19.51,90.10
231498,19.51,90.10
232496,19.51,90.10
233493,19.48,90.10
234489,19.41,72.35
235487,19.38,72.35
236484,19.35,60.53
237481,19.35,60.53
238479,19.28,48.72
239476,19.28,48.72
240474,19.21,36.90
241470,19.11,36.90
242467,19.11,19.19
243465,18.97,19.19
244462,18.97,0.00
245459,18.87,0.00
246457,18.84,0.00
