"octo","on1","on1.o2","on1.temp","off1","off1.o2","off1.temp","on2","on2.o2","on2.temp","off2","off2.o2","off2.temp","lognumber","mass"
1,37.1139685254757,166.258728348546,19.1780666888682,-11.3811671060796,165.048447671572,19.0801055967854,21.6290903270665,164.306150102725,19.1723124915054,-9.46423865240681,163.804075214272,19.0367520253499,1,136
2,61.3961708588529,188.706008865711,19.2039401233849,-22.5599098394078,190.776620799509,19.0921066257008,44.850116168912,187.140473146404,19.2242452483976,-23.7508494755697,185.354369395173,19.0451124524574,2,153
3,27.0870847645324,213.179055302561,19.2169122075747,-5.32190531842669,211.573466634642,19.103696297332,13.4915750764067,211.722341551792,19.2206497833511,-10.678402997278,210.093300582614,19.0866717298169,4,59
4,70.339142313559,229.660495305078,19.1773321962822,102.490652899545,226.343318355067,18.7235898112485,39.43805708873,216.182912170511,19.2092759241326,82.693014581977,214.00414307381,18.7991492161505,5,85
5,169.15925862641,226.786222443535,19.1014323888137,113.289168710401,215.879508952581,18.8171819777102,108.764573684017,201.789769604842,19.1392151704041,80.9856750866999,194.39576729915,18.8154992481237,6,155
6,68.2202887979144,228.024151559716,18.9414364090582,37.7076604276139,223.002603224253,18.9563417642366,33.0695573529138,220.281239072004,18.8453392712839,29.5750252584651,217.708042421553,18.8318245346623,7,46
7,49.0193646843665,183.35432714139,19.2087497919444,2.99119236396407,182.114373220709,19.0211044753697,27.4760735269838,180.467344680026,19.2114403167902,-5.25132851710631,179.487340300111,19.0102374816144,9,41
8,93.4173460827586,248.485767955722,19.1462975905837,32.5622643048252,241.522391597586,19.0284524333819,67.3536469064837,236.202087098722,19.0829550309172,23.8094209759491,230.898867912827,18.9621791225654,10,188
9,30.1600700900393,230.925851732964,19.228611949012,25.7215925361762,228.247965240965,19.0978821259882,29.6866630822754,224.423350589973,19.2022671416106,21.4514305280641,222.494948964706,19.0607490271416,11,152
10,100.306145160808,253.143978236526,19.1130250923553,31.7779370983754,244.565352663032,19.0311236246372,53.3860337574458,241.265854871498,19.1123373436991,8.36854792108086,236.686661315417,19.0301745215011,13,218
11,69.2007607795098,239.808889432078,19.1705349516805,1.73090678611076,235.141836403285,19.0642047857841,43.2046655564484,233.415689718042,19.1733132833782,-2.42476509247896,230.18947848255,19.0035926000479,14,85
12,58.6749995150645,218.435665241787,19.1853171934475,33.8436867447553,211.129733661879,19.043100022679,53.6981616957473,207.516543452769,19.1327216790105,30.0447647564426,202.215518473609,18.994589225233,15,390
13,79.9105282454143,214.905436236923,19.1762460870999,19.3767875296899,208.386680923319,19.0622203684728,51.6985825280217,204.540711741653,19.1363921795885,11.3739458597489,200.08983910558,19.0357335968359,16,189
14,91.5587644396902,215.368883255018,19.2022049746273,7.23754646984476,209.477060575622,19.0884237217726,90.8644542925339,203.869405651813,19.1985591219056,2.03285990259611,197.175152627232,19.0909505783739,23,NA
15,37.0151805104847,225.295363622903,19.0837360935321,17.7364191405023,221.559822954389,19.0203338599339,29.1452377018069,219.666124896493,19.0553393764327,16.4146261542389,217.822478930213,18.8935990980868,24,155.5
16,58.9222358085638,224.737963442495,19.1606029337653,41.7545738358886,217.46595657801,19.0779916879748,53.2653351985978,213.77344422039,19.1281283370963,49.2724088267777,209.304419717874,18.942201752171,25,26.5
17,48.7507060920655,203.376096233017,19.2458637615856,8.78887615539919,199.823797746031,19.0851254835907,47.9165203780063,196.546644069034,19.1513959800655,5.36668133108521,193.391618412199,18.9952705675399,26,308
