millis,temp,output
154,20.53,0.00
1152,20.56,255.00
2148,20.53,255.00
3145,20.56,255.00
4143,20.53,255.00
5140,20.53,255.00
6137,20.53,255.00
7134,20.53,255.00
8131,20.53,255.00
9128,20.49,255.00
10126,20.53,255.00
11123,20.56,255.00
12121,20.53,255.00
13117,20.49,255.00
14114,20.26,255.00
15112,20.02,178.75
16109,19.78,178.75
17106,19.62,107.81
18104,19.38,107.81
19101,19.14,25.08
20098,18.94,25.08
21095,18.81,0.00
22092,18.64,0.00
23090,18.47,0.00
24086,18.40,0.00
25083,18.23,0.00
26081,18.20,0.00
27078,18.06,0.00
28075,18.06,0.00
29072,18.06,0.00
30069,18.00,0.00
31067,18.00,0.00
32063,17.96,0.00
33060,18.00,0.00
34058,17.96,0.00
35054,18.00,0.00
36051,17.96,0.00
37049,18.03,0.00
38046,18.03,0.00
39043,18.10,0.00
40040,18.06,0.00
41037,18.13,0.00
42035,18.10,0.00
43031,18.16,0.00
44028,18.13,0.00
45026,18.20,0.00
46023,18.20,0.00
47020,18.23,0.00
48017,18.23,0.00
49014,18.27,0.00
50011,18.30,0.00
51008,18.27,0.00
52005,18.37,0.00
53003,18.30,0.00
53999,18.37,0.00
54996,18.40,0.00
55994,18.40,0.00
56991,18.43,0.00
57988,18.40,0.00
58985,18.47,0.00
59982,18.50,0.00
60980,18.50,0.00
61976,18.64,0.00
62973,18.70,0.00
63971,18.77,0.00
64968,18.84,0.00
65965,18.91,0.00
66962,18.94,0.00
67959,18.97,0.00
68956,19.04,7.37
69953,19.04,7.37
70950,19.11,19.19
71948,19.11,19.19
72945,19.21,36.90
73942,19.18,36.90
74939,19.24,42.82
75936,19.24,42.82
76934,19.35,60.53
77931,19.35,60.53
78928,19.28,48.72
79925,19.35,48.72
80922,19.31,54.64
81920,19.35,54.64
82917,19.38,66.46
83914,19.45,66.46
84911,19.41,72.35
85908,19.31,72.35
86905,19.38,66.46
87903,19.41,66.46
88900,19.51,90.10
89896,19.35,90.10
90894,19.31,54.64
91891,19.28,54.64
92889,19.24,42.82
93886,19.18,42.82
94883,19.18,31.01
95880,19.21,31.01
96877,19.14,25.08
97874,19.14,25.08
98872,19.14,25.08
99869,19.04,25.08
100866,19.11,19.19
101863,19.04,19.19
102860,19.04,7.37
103858,18.97,7.37
104855,19.08,13.30
105852,18.97,13.30
106849,19.08,13.30
107846,19.01,13.30
108844,18.97,0.00
109841,19.08,0.00
110838,19.04,7.37
111835,19.08,7.37
112832,19.04,7.37
113829,19.11,7.37
114827,19.14,25.08
115824,19.21,25.08
116822,19.18,31.01
117818,19.18,31.01
118815,19.18,31.01
119813,19.28,31.01
120810,19.24,42.82
121807,19.45,42.82
122805,19.28,48.72
123802,19.28,48.72
124798,19.31,54.64
125796,19.31,54.64
126793,19.28,48.72
127791,19.28,48.72
128788,19.31,54.64
129785,19.31,54.64
130783,19.31,54.64
131779,19.38,54.64
132776,19.31,54.64
133774,19.21,54.64
134771,19.31,54.64
135769,19.28,54.64
136766,19.21,36.90
137763,19.21,36.90
138760,19.21,36.90
139757,19.18,36.90
140754,19.14,25.08
141752,19.14,25.08
