millis,temp,output
154,21.61,0.00
1152,21.61,255.00
2148,21.58,255.00
3145,21.61,255.00
4143,21.58,255.00
5140,21.61,255.00
6137,21.61,255.00
7134,21.61,255.00
8131,21.61,255.00
9128,21.61,255.00
10126,21.61,255.00
11123,21.61,255.00
12120,21.61,255.00
13117,21.47,255.00
14114,21.37,255.00
15112,21.14,255.00
16109,21.00,255.00
17106,20.83,255.00
18104,20.70,255.00
19100,20.56,255.00
20098,20.36,255.00
21095,20.26,220.13
22092,20.09,220.13
23090,20.02,178.75
24087,19.82,178.75
25084,19.75,131.48
26081,19.62,131.48
27078,19.55,96.02
28076,19.45,96.02
29073,19.28,48.72
30070,19.21,48.72
31068,19.04,7.37
32064,19.11,7.37
33061,18.94,0.00
34059,18.84,0.00
35056,18.77,0.00
36052,18.67,0.00
37050,18.60,0.00
38047,18.54,0.00
39045,18.50,0.00
40041,18.47,0.00
41038,18.43,0.00
42036,18.47,0.00
43033,18.43,0.00
44029,18.43,0.00
45027,18.47,0.00
46024,18.47,0.00
47021,18.47,0.00
48018,18.47,0.00
49015,18.50,0.00
50013,18.50,0.00
51009,18.50,0.00
52006,18.50,0.00
53004,18.47,0.00
54001,18.50,0.00
54998,18.54,0.00
55995,18.54,0.00
56992,18.57,0.00
57990,18.57,0.00
58986,18.57,0.00
59983,18.57,0.00
60981,18.64,0.00
61978,18.81,0.00
62974,18.97,0.00
63972,19.11,0.00
64969,19.18,31.01
65967,19.21,31.01
66963,19.35,60.53
67960,19.28,60.53
68958,19.48,84.17
69955,19.55,84.17
70952,19.62,107.81
71949,19.58,107.81
72946,19.65,113.73
73944,19.65,113.73
74941,19.68,119.66
75938,19.68,119.66
76936,19.65,113.73
77933,19.68,113.73
78930,19.68,119.66
79927,19.68,119.66
80924,19.68,119.66
81922,19.62,119.66
82919,19.55,96.02
83916,19.51,96.02
84914,19.51,90.10
85910,19.55,90.10
86907,19.51,90.10
87905,19.45,90.10
88902,19.41,72.35
89900,19.38,72.35
90896,19.45,78.28
91893,19.35,78.28
92891,19.31,54.64
93888,19.35,54.64
94885,19.38,66.46
95882,19.31,66.46
96879,19.24,42.82
97876,19.21,42.82
98874,19.14,25.08
99871,19.21,25.08
100869,19.11,19.19
101865,19.04,19.19
102862,19.14,25.08
103860,19.08,25.08
104857,19.11,19.19
105854,19.08,19.19
106852,19.11,19.19
107849,19.11,19.19
108846,19.14,25.08
109843,19.18,25.08
110840,19.14,25.08
111838,19.11,25.08
112835,19.18,31.01
113832,19.18,31.01
114830,19.14,25.08
115826,19.18,25.08
116824,19.18,31.01
117821,19.28,31.01
118818,19.21,36.90
119816,19.14,36.90
120813,19.18,31.01
121809,19.35,31.01
122807,19.28,48.72
123804,19.31,48.72
124802,19.31,54.64
125799,19.28,54.64
126796,19.35,60.53
127794,19.41,60.53
128790,19.28,48.72
129787,19.38,48.72
130785,19.35,60.53
131782,19.38,60.53
132780,19.41,72.35
133777,19.31,72.35
134774,19.35,60.53
135771,19.41,60.53
136768,19.41,72.35
137765,19.55,72.35
138763,19.41,72.35
139760,19.41,72.35
140758,19.38,66.46
141755,19.31,66.46
142752,19.41,72.35
143749,19.35,72.35
144746,19.28,48.72
145743,19.38,48.72
146741,19.31,54.64
147738,19.41,54.64
148736,19.35,60.53
149733,19.24,60.53
150729,19.38,66.46
151727,19.28,66.46
152724,19.31,54.64
153721,19.28,54.64
154719,19.18,31.01
155716,19.21,31.01
156713,19.14,25.08
157710,19.21,25.08
158707,19.14,25.08
159705,19.14,25.08
160702,19.18,31.01
161699,19.14,31.01
162697,19.08,13.30
163693,19.18,13.30
164690,19.21,36.90
165688,19.18,36.90
166685,19.18,31.01
167683,19.08,31.01
168680,19.28,48.72
169677,19.08,48.72
170675,19.21,36.90
171671,19.11,36.90
172668,19.31,54.64
173666,19.21,54.64
174663,19.28,48.72
175661,19.24,48.72
176658,19.35,60.53
177654,19.28,60.53
178652,19.14,25.08
179649,19.21,25.08
180646,19.38,66.46
181644,19.31,66.46
182641,19.24,42.82
183639,19.21,42.82
184636,19.31,54.64
185632,19.31,54.64
186630,19.28,48.72
187627,19.31,48.72
188624,19.24,42.82
189622,19.21,42.82
190619,19.31,54.64
191616,19.31,54.64
192613,19.24,42.82
193610,19.31,42.82
194608,19.24,42.82
195605,19.28,42.82
196602,19.31,54.64
197600,19.28,54.64
198597,19.24,42.82
199593,19.18,42.82
200591,19.24,42.82
201588,19.21,42.82
202586,19.28,48.72
203583,19.18,48.72
204580,19.31,54.64
205578,19.18,54.64
206574,19.31,54.64
207571,19.24,54.64
208569,19.28,48.72
209566,19.35,48.72
210564,19.18,31.01
211561,19.21,31.01
212558,19.28,48.72
213555,19.18,48.72
214552,19.21,36.90
215549,19.14,36.90
216547,19.21,36.90
217544,19.21,36.90
218542,19.21,36.90
219539,19.14,36.90
220535,19.18,31.01
221533,19.18,31.01
222530,19.18,31.01
223527,19.21,31.01
224525,19.18,31.01
225522,19.24,31.01
226520,19.21,36.90
227516,19.21,36.90
228513,19.18,31.01
229511,19.21,31.01
230508,19.18,31.01
231505,19.24,31.01
232503,19.18,31.01
233499,19.31,31.01
234497,19.21,36.90
235494,19.28,36.90
236491,19.28,48.72
237489,19.28,48.72
238486,19.35,60.53
239483,19.24,60.53
240481,19.24,42.82
241477,19.24,42.82
242475,19.35,60.53
243472,19.24,60.53
244469,19.28,48.72
245467,19.31,48.72
246464,19.24,42.82
247461,19.31,42.82
248458,19.31,54.64
249455,19.24,54.64
250452,19.28,48.72
251450,19.28,48.72
252447,19.24,42.82
253445,19.24,42.82
254442,19.21,36.90
255438,19.24,36.90
256436,19.28,48.72
257433,19.31,48.72
258430,19.14,25.08
259428,19.24,25.08
260425,19.21,36.90
261422,19.14,36.90
262419,19.21,36.90
263416,19.18,36.90
264414,19.21,36.90
265411,19.14,36.90
266408,19.21,36.90
267406,19.14,36.90
268402,19.21,36.90
269400,19.18,36.90
270397,19.11,19.19
271394,19.14,19.19
272392,19.21,36.90
273389,19.14,36.90
274386,19.21,36.90
275383,19.28,36.90
276380,19.18,31.01
277378,19.18,31.01
278375,19.18,31.01
279372,19.21,31.01
280370,19.14,25.08
281367,19.28,25.08
282363,19.28,48.72
283361,19.21,48.72
284358,19.28,48.72
285356,19.21,48.72
286353,19.18,31.01
287350,19.38,31.01
288348,19.28,48.72
289344,19.28,48.72
290341,19.18,31.01
291339,19.31,31.01
292336,19.28,48.72
293334,19.28,48.72
294331,19.21,36.90
295328,19.21,36.90
296325,19.35,60.53
297322,19.31,60.53
298319,19.24,42.82
299317,19.28,42.82
300314,19.24,42.82
301312,19.24,42.82
302309,19.28,48.72
303305,19.24,48.72
304303,19.24,42.82
305300,19.18,42.82
306297,19.28,48.72
307295,19.21,48.72
308292,19.24,42.82
309289,19.18,42.82
310287,19.28,48.72
311283,19.21,48.72
312281,19.18,31.01
313278,19.21,31.01
314275,19.18,31.01
315273,19.28,31.01
316270,19.08,13.30
317266,19.21,13.30
318264,19.04,7.37
319261,19.11,7.37
320259,19.14,25.08
321256,19.14,25.08
322253,19.14,25.08
323251,19.24,25.08
324247,19.18,31.01
325244,19.18,31.01
326242,19.14,25.08
327239,19.31,25.08
328237,19.18,31.01
329234,19.21,31.01
330231,19.28,48.72
331228,19.14,48.72
332225,19.21,36.90
333222,19.31,36.90
334220,19.24,42.82
335217,19.24,42.82
336215,19.31,54.64
337211,19.24,54.64
338208,19.28,48.72
339206,19.31,48.72
340203,19.35,60.53
341200,19.35,60.53
342198,19.28,48.72
343195,19.28,48.72
344193,19.31,54.64
345189,19.28,54.64
346186,19.31,54.64
347184,19.24,54.64
348181,19.28,48.72
349178,19.24,48.72
350176,19.21,36.90
351173,19.24,36.90
352169,19.24,42.82
353167,19.14,42.82
354164,19.24,42.82
355162,19.21,42.82
356159,19.21,36.90
357156,19.11,36.90
358154,19.18,31.01
359150,19.11,31.01
360147,19.11,19.19
361145,19.04,19.19
362142,18.84,0.00
363140,18.77,0.00
364137,18.64,0.00
365133,18.60,0.00
366131,18.57,0.00
367128,18.54,0.00
368125,18.43,0.00
369122,18.47,0.00
370119,18.47,0.00
371117,18.37,0.00
372114,18.40,0.00
373111,18.43,0.00
374108,18.40,0.00
375105,18.37,0.00
376102,18.47,0.00
377100,18.43,0.00
378096,18.40,0.00
379094,18.50,0.00
380091,18.50,0.00
381088,18.54,0.00
382086,18.47,0.00
383082,18.50,0.00
384079,18.57,0.00
385077,18.60,0.00
386074,18.60,0.00
387070,18.54,0.00
388068,18.64,0.00
389065,18.64,0.00
390063,18.70,0.00
391060,18.70,0.00
392056,18.70,0.00
393054,18.70,0.00
