millis,temp,output
154,20.83,0.00
1152,20.87,255.00
2148,20.87,255.00
3145,20.83,255.00
4143,20.87,255.00
5140,20.87,255.00
6137,20.87,255.00
7134,20.87,255.00
8131,20.87,255.00
9128,20.83,255.00
10126,20.87,255.00
11123,20.83,255.00
12120,20.83,255.00
13117,20.76,255.00
14114,20.56,255.00
15112,20.33,231.95
16109,20.19,231.95
17106,20.06,184.68
18104,19.92,184.68
19101,19.65,113.73
20098,19.58,113.73
21095,19.41,72.35
22092,19.18,72.35
23090,19.18,31.01
24087,19.04,31.01
25084,18.91,0.00
26081,18.87,0.00
27078,18.77,0.00
28076,18.70,0.00
29072,18.60,0.00
30069,18.57,0.00
31067,18.50,0.00
32064,18.50,0.00
33060,18.50,0.00
34058,18.50,0.00
35055,18.50,0.00
36052,18.47,0.00
37049,18.47,0.00
38046,18.47,0.00
39044,18.47,0.00
40040,18.47,0.00
41037,18.50,0.00
42035,18.47,0.00
43032,18.47,0.00
44028,18.47,0.00
45026,18.50,0.00
46023,18.54,0.00
47021,18.60,0.00
48017,18.57,0.00
49014,18.60,0.00
50012,18.57,0.00
51009,18.60,0.00
52005,18.67,0.00
53003,18.70,0.00
54000,18.67,0.00
54998,18.64,0.00
55994,18.70,0.00
56991,18.74,0.00
57989,18.74,0.00
58986,18.74,0.00
59982,18.74,0.00
60980,18.81,0.00
61977,19.11,0.00
62973,19.21,36.90
63971,19.28,36.90
64968,19.38,66.46
65966,19.35,66.46
66963,19.48,84.17
67959,19.55,84.17
68957,19.55,96.02
69954,19.58,96.02
70951,19.62,107.81
71949,19.55,107.81
72946,19.58,101.91
73944,19.65,101.91
74940,19.58,101.91
75937,19.62,101.91
76935,19.58,101.91
77932,19.62,101.91
78929,19.51,90.10
79927,19.48,90.10
80923,19.38,66.46
81921,19.51,66.46
82918,19.45,78.28
83915,19.38,78.28
84913,19.38,66.46
85910,19.28,66.46
86906,19.31,54.64
87904,19.31,54.64
88901,19.21,36.90
89899,19.24,36.90
90896,19.14,25.08
91892,19.18,25.08
92890,19.14,25.08
93887,19.08,25.08
94884,19.14,25.08
95882,19.08,25.08
96878,19.11,19.19
97875,19.08,19.19
98873,19.08,13.30
99870,19.08,13.30
100868,19.14,25.08
101865,19.08,25.08
102861,19.11,19.19
103859,19.11,19.19
104856,19.11,19.19
105853,19.11,19.19
106851,19.04,7.37
107848,19.24,7.37
108845,19.28,48.72
109842,19.11,48.72
110839,19.11,19.19
111837,19.18,19.19
112834,19.21,36.90
113831,19.24,36.90
114829,19.24,42.82
115825,19.21,42.82
116823,19.31,54.64
117820,19.14,54.64
118817,19.28,48.72
119815,19.24,48.72
120812,19.21,36.90
121809,19.31,36.90
122806,19.31,54.64
123803,19.28,54.64
124801,19.24,42.82
125798,19.28,42.82
126795,19.31,54.64
127793,19.11,54.64
128790,19.14,25.08
129786,19.28,25.08
130784,19.24,42.82
131781,19.31,42.82
132779,19.28,48.72
