millis,temp,output
154,19.48,0.00
1152,19.48,84.17
2148,19.48,84.17
3145,19.41,72.35
4143,19.55,72.35
5140,19.51,90.10
6136,19.51,90.10
7134,19.45,78.28
8131,19.45,78.28
9128,19.45,78.28
10125,19.51,78.28
11122,19.51,90.10
12120,19.45,90.10
13117,19.51,90.10
14114,19.41,90.10
15112,19.31,54.64
16108,19.21,54.64
17105,19.31,54.64
18103,19.14,54.64
19100,19.01,1.44
20098,19.01,1.44
21094,18.94,0.00
22091,18.84,0.00
23089,18.77,0.00
24085,18.67,0.00
25082,18.64,0.00
26080,18.64,0.00
27077,18.60,0.00
28073,18.57,0.00
29071,18.57,0.00
30068,18.50,0.00
31066,18.54,0.00
32062,18.57,0.00
33059,18.54,0.00
34057,18.57,0.00
35054,18.57,0.00
36050,18.54,0.00
37048,18.57,0.00
38045,18.57,0.00
39043,18.54,0.00
40039,18.57,0.00
41036,18.57,0.00
42034,18.64,0.00
43031,18.67,0.00
44027,18.64,0.00
45025,18.64,0.00
46022,18.60,0.00
47019,18.67,0.00
48016,18.67,0.00
49013,18.67,0.00
50011,18.64,0.00
51007,18.70,0.00
52004,18.74,0.00
53002,18.74,0.00
53999,18.77,0.00
54995,18.74,0.00
55993,18.74,0.00
56990,18.77,0.00
57988,18.77,0.00
58984,18.81,0.00
59981,18.77,0.00
60979,18.81,0.00
61976,19.04,0.00
62972,19.14,25.08
63970,19.28,25.08
64967,19.35,60.53
65965,19.45,60.53
66962,19.45,78.28
67958,19.55,78.28
68956,19.55,96.02
69953,19.55,96.02
70950,19.65,113.73
71948,19.62,113.73
72945,19.68,119.66
73942,19.65,119.66
74939,19.58,101.91
75936,19.58,101.91
76934,19.58,101.91
77931,19.55,101.91
78928,19.55,96.02
79925,19.41,96.02
80922,19.41,72.35
81920,19.45,72.35
82917,19.35,60.53
83914,19.24,60.53
84912,19.24,42.82
85908,19.08,42.82
86905,19.01,1.44
87903,18.94,1.44
88900,18.91,0.00
89896,18.94,0.00
90894,18.87,0.00
91891,18.77,0.00
92889,18.81,0.00
93885,18.81,0.00
94882,18.74,0.00
95880,18.77,0.00
96877,18.74,0.00
97873,18.77,0.00
98871,18.77,0.00
99868,18.77,0.00
100866,18.84,0.00
101862,18.87,0.00
102859,18.87,0.00
103857,18.91,0.00
104854,18.87,0.00
105850,18.87,0.00
106848,18.91,0.00
107845,18.97,0.00
108843,19.04,7.37
109840,19.01,7.37
110836,19.08,13.30
111834,19.01,13.30
112831,19.18,31.01
113828,19.11,31.01
114826,19.18,31.01
115823,19.21,31.01
116820,19.28,48.72
117817,19.21,48.72
118814,19.38,66.46
119812,19.35,66.46
120809,19.38,66.46
121806,19.35,66.46
122804,19.41,72.35
123800,19.38,72.35
124797,19.35,60.53
125795,19.35,60.53
126792,19.31,54.64
127790,19.45,54.64
128787,19.28,48.72
129784,19.31,48.72
130782,19.21,36.90
131778,19.18,36.90
132775,19.14,25.08
133773,19.18,25.08
134770,19.14,25.08
135768,19.11,25.08
136765,19.04,7.37
137761,19.08,7.37
138759,18.97,0.00
139756,18.97,0.00
140753,18.97,0.00
141751,19.01,0.00
142747,18.94,0.00
143745,18.94,0.00
144742,18.94,0.00
145739,18.97,0.00
146737,18.94,0.00
147733,18.97,0.00
148730,19.04,7.37
149728,19.18,7.37
150725,19.11,19.19
151723,19.08,19.19
152719,19.04,7.37
153716,19.11,7.37
154714,19.21,36.90
155711,19.18,36.90
156708,19.11,19.19
157706,19.28,19.19
158703,19.31,54.64
159699,19.38,54.64
160697,19.31,54.64
161694,19.24,54.64
162692,19.31,54.64
163689,19.31,54.64
164686,19.35,60.53
165684,19.35,60.53
166680,19.35,60.53
167677,19.35,60.53
168675,19.24,42.82
169672,19.28,42.82
170670,19.28,48.72
171667,19.24,48.72
172664,19.24,42.82
173661,19.18,42.82
174658,19.18,31.01
175655,19.04,31.01
176653,19.11,19.19
177650,19.11,19.19
178648,19.08,13.30
179645,18.97,13.30
180641,18.97,0.00
181639,19.01,0.00
182636,18.94,0.00
183633,18.94,0.00
184631,18.94,0.00
185627,18.97,0.00
186625,18.97,0.00
187622,18.94,0.00
188619,18.97,0.00
189616,19.04,0.00
190613,19.01,1.44
191610,19.08,1.44
192608,19.11,19.19
193605,19.11,19.19
194603,19.14,25.08
195599,19.11,25.08
196596,19.18,31.01
197594,19.24,31.01
198591,19.18,31.01
199588,19.24,31.01
200586,19.28,48.72
201583,19.31,48.72
202579,19.24,42.82
203577,19.28,42.82
204574,19.31,54.64
205572,19.28,54.64
206569,19.28,48.72
207566,19.28,48.72
208564,19.24,42.82
209560,19.35,42.82
210557,19.28,48.72
211555,19.21,48.72
212552,19.28,48.72
213550,19.21,48.72
214547,19.21,36.90
215544,19.18,36.90
216541,19.18,31.01
217538,19.11,31.01
218535,19.14,25.08
219533,19.14,25.08
220530,18.94,0.00
221528,19.04,0.00
222524,19.04,7.37
223521,19.01,7.37
224519,18.97,0.00
225516,18.94,0.00
226513,18.94,0.00
227510,18.94,0.00
228507,18.94,0.00
229505,18.97,0.00
230502,19.01,1.44
231498,19.01,1.44
232496,19.01,1.44
233493,19.11,1.44
234490,19.08,13.30
235488,19.14,13.30
236485,19.18,31.01
237481,19.18,31.01
238479,19.18,31.01
239476,19.21,31.01
240474,19.24,42.82
241471,19.28,42.82
242468,19.31,54.64
243466,19.38,54.64
244463,19.28,48.72
245459,19.38,48.72
246457,19.28,48.72
247454,19.35,48.72
248452,19.35,60.53
249449,19.38,60.53
250446,19.31,54.64
251444,19.41,54.64
252440,19.24,42.82
253437,19.38,42.82
254435,19.14,25.08
255432,19.21,25.08
256430,19.14,25.08
257427,19.28,25.08
258424,19.11,19.19
259421,19.08,19.19
260418,19.08,13.30
261415,18.97,13.30
262413,19.01,1.44
263410,19.04,1.44
264408,18.97,0.00
