millis,temp,output
154,18.91,0.00
1152,18.91,0.00
2148,18.91,0.00
3145,18.91,0.00
4143,18.94,0.00
5139,18.91,0.00
6136,18.94,0.00
7134,18.94,0.00
8130,18.91,0.00
9127,18.91,0.00
10125,18.87,0.00
11122,18.94,0.00
12119,18.97,0.00
13116,18.91,0.00
14113,18.91,0.00
15111,18.94,0.00
16107,18.97,0.00
17104,18.91,0.00
18102,18.94,0.00
19099,19.01,2.06
20096,18.94,2.06
21093,18.94,0.00
22090,18.97,0.00
23088,18.97,0.00
24084,18.94,0.00
25081,18.97,0.00
26079,19.04,0.00
27075,18.97,0.00
28072,18.97,0.00
29070,19.01,2.06
30067,19.04,2.06
31064,18.97,0.00
32061,19.01,0.00
33058,19.04,10.53
34056,19.08,10.53
35053,18.97,0.00
36049,19.04,0.00
37047,19.08,19.00
38044,18.91,19.00
39042,19.14,35.83
40038,18.97,35.83
41035,19.08,19.00
42033,19.04,19.00
43030,19.04,10.53
44027,19.01,10.53
45024,19.08,19.00
46021,19.04,19.00
47019,19.08,19.00
48016,19.04,19.00
49013,19.01,2.06
50010,19.08,2.06
51007,18.97,0.00
52004,19.04,0.00
53002,19.04,10.53
53998,19.01,10.53
54995,19.08,19.00
55993,18.97,19.00
56990,19.01,2.06
57988,19.01,2.06
58984,18.91,0.00
59981,19.04,0.00
60979,19.01,2.06
61976,19.11,2.06
62972,19.31,78.06
63970,19.31,78.06
64967,19.31,78.06
65965,19.41,78.06
66962,19.55,137.18
67958,19.51,137.18
68956,19.55,137.18
69953,19.55,137.18
70950,19.65,162.47
71948,19.65,162.47
72945,19.65,162.47
73943,19.72,162.47
74939,19.62,154.01
75936,19.75,154.01
76934,19.68,170.94
77931,19.72,170.94
78928,19.78,196.24
79926,19.75,196.24
80923,19.65,162.47
81920,19.65,162.47
82917,19.65,162.47
83914,19.62,162.47
84912,19.55,137.18
85909,19.58,137.18
86906,19.51,128.71
87904,19.51,128.71
88901,19.55,137.18
89897,19.45,137.18
90895,19.41,103.36
91892,19.28,103.36
92890,19.31,78.06
93887,19.21,78.06
94884,19.18,44.30
95881,19.08,44.30
96878,19.14,35.83
97875,19.04,35.83
98873,19.14,35.83
99870,18.97,35.83
100867,18.84,0.00
101864,18.84,0.00
102861,18.81,0.00
103859,18.84,0.00
104856,18.77,0.00
105852,18.70,0.00
106850,18.74,0.00
107847,18.70,0.00
108845,18.64,0.00
109841,18.67,0.00
110838,18.67,0.00
111836,18.64,0.00
112833,18.67,0.00
113830,18.67,0.00
114827,18.64,0.00
115824,18.60,0.00
116822,18.60,0.00
117819,18.70,0.00
118815,18.70,0.00
119813,18.70,0.00
120810,18.64,0.00
121807,18.70,0.00
122805,18.77,0.00
123801,18.74,0.00
124798,18.70,0.00
125796,18.77,0.00
126793,18.81,0.00
127790,18.81,0.00
128787,18.81,0.00
129784,18.84,0.00
130782,18.84,0.00
131779,18.84,0.00
132775,18.91,0.00
133773,18.94,0.00
134770,18.91,0.00
135768,19.01,0.00
136765,19.01,2.06
137761,19.01,2.06
138759,19.04,10.53
139756,19.08,10.53
140753,19.11,27.41
141751,19.08,27.41
142748,19.04,10.53
143745,19.14,10.53
144742,19.11,27.41
145739,19.21,27.41
146737,19.18,44.30
147734,19.24,44.30
148731,19.24,61.18
149729,19.35,61.18
150725,19.31,78.06
151723,19.31,78.06
152720,19.41,103.36
153717,19.38,103.36
154715,19.31,78.06
155712,19.35,78.06
156709,19.41,103.36
157707,19.38,103.36
158703,19.41,103.36
159700,19.45,103.36
160698,19.41,103.36
161695,19.45,103.36
162693,19.41,103.36
163690,19.41,103.36
164687,19.41,103.36
165685,19.38,103.36
166682,19.38,94.94
167680,19.38,94.94
168676,19.41,103.36
169673,19.35,103.36
170671,19.31,78.06
171668,19.28,78.06
172665,19.24,61.18
173663,19.28,61.18
174660,19.18,44.30
175657,19.18,44.30
176654,19.11,27.41
177651,19.21,27.41
178649,19.08,19.00
179646,19.11,19.00
180643,19.04,10.53
181641,19.01,10.53
182638,18.97,0.00
183634,18.97,0.00
184632,18.94,0.00
185629,18.91,0.00
186627,18.94,0.00
187623,18.87,0.00
188620,18.87,0.00
189618,18.94,0.00
190615,18.84,0.00
191612,18.87,0.00
192609,18.91,0.00
193606,18.84,0.00
194604,18.94,0.00
195601,18.94,0.00
196598,18.87,0.00
197595,18.97,0.00
198592,18.87,0.00
199589,18.97,0.00
