millis,temp,output
154,19.48,0.00
1152,19.48,120.24
2148,19.38,120.24
3145,19.48,120.24
4143,19.45,120.24
5140,19.58,145.59
6137,19.45,145.59
7134,19.51,128.71
8131,19.55,128.71
9128,19.45,111.83
10126,19.45,111.83
11123,19.48,120.24
12121,19.48,120.24
13118,19.48,120.24
14114,19.51,120.24
15112,19.48,120.24
16109,19.45,120.24
17106,19.38,94.94
18104,19.28,94.94
19101,19.24,61.18
20098,19.11,61.18
21095,18.97,0.00
22092,18.84,0.00
23090,18.74,0.00
24086,18.54,0.00
25083,18.47,0.00
26081,18.37,0.00
27078,18.23,0.00
28075,18.13,0.00
29072,18.10,0.00
30069,18.00,0.00
31067,18.00,0.00
32063,18.00,0.00
33060,17.89,0.00
34058,17.83,0.00
35055,17.83,0.00
36051,17.83,0.00
37049,17.86,0.00
38046,17.83,0.00
39044,17.76,0.00
40040,17.83,0.00
41037,17.86,0.00
42035,17.83,0.00
43031,17.79,0.00
44028,17.86,0.00
45026,17.86,0.00
46023,17.83,0.00
47020,17.86,0.00
48017,17.89,0.00
49014,17.86,0.00
50012,17.93,0.00
51008,17.96,0.00
52005,17.89,0.00
53003,18.00,0.00
53999,17.96,0.00
54996,18.03,0.00
55994,18.00,0.00
56991,18.00,0.00
57988,18.06,0.00
58985,18.03,0.00
59982,18.13,0.00
60980,18.13,0.00
61976,18.37,0.00
62973,18.47,0.00
63971,18.54,0.00
64968,18.64,0.00
65965,18.67,0.00
66962,18.77,0.00
67959,18.77,0.00
68957,18.91,0.00
69953,18.87,0.00
70950,18.91,0.00
71948,19.04,0.00
72945,19.04,10.53
73942,19.04,10.53
74939,19.04,10.53
75936,19.14,10.53
76934,19.11,27.41
77931,19.21,27.41
78927,19.24,61.18
79925,19.28,61.18
80922,19.35,86.48
81920,19.38,86.48
82917,19.38,94.94
83913,19.38,94.94
84911,19.45,111.83
85908,19.45,111.83
86905,19.45,111.83
87903,19.51,111.83
88900,19.41,103.36
89897,19.48,103.36
90894,19.38,94.94
91891,19.41,94.94
92889,19.38,94.94
93886,19.28,94.94
