millis,temp,output
289338,19.62,107.81
290335,19.62,107.81
291333,19.65,107.81
292330,19.65,113.73
293327,19.58,113.73
294325,19.65,113.73
295322,19.62,113.73
296320,19.62,107.81
297317,19.65,107.81
298314,19.51,90.10
299311,19.65,90.10
300308,19.55,96.02
301305,19.65,96.02
302303,19.62,107.81
303300,19.48,107.81
304297,19.58,101.91
305295,19.48,101.91
306292,19.38,66.46
307289,19.38,66.46
308286,19.38,66.46
309283,19.48,66.46
310281,19.28,48.72
311278,19.21,48.72
312275,19.21,36.90
313273,19.18,36.90
314269,19.04,7.37
315267,19.04,7.37
316264,18.91,0.00
317261,18.91,0.00
318259,18.87,0.00
319255,18.84,0.00
320252,18.74,0.00
321250,18.70,0.00
322247,18.67,0.00
323244,18.64,0.00
324241,18.67,0.00
325238,18.60,0.00
326236,18.60,0.00
327233,18.64,0.00
328229,18.64,0.00
329227,18.64,0.00
330224,18.60,0.00
331222,18.64,0.00
332219,18.64,0.00
333215,18.67,0.00
334213,18.70,0.00
335210,18.70,0.00
336207,18.74,0.00
337204,18.74,0.00
338201,18.77,0.00
339198,18.81,0.00
340196,18.77,0.00
341193,18.84,0.00
342190,18.91,0.00
343187,18.94,0.00
344184,19.01,1.44
345182,19.01,1.44
346179,19.11,19.19
347175,19.01,19.19
348173,19.11,19.19
349170,19.08,19.19
350168,19.18,31.01
351165,19.18,31.01
352162,19.24,42.82
353160,19.24,42.82
354156,19.41,72.35
355153,19.35,72.35
356151,19.35,60.53
357148,19.38,60.53
358146,19.45,78.28
359143,19.45,78.28
360140,19.45,78.28
361137,19.31,78.28
362134,19.38,66.46
363131,19.11,66.46
364129,19.11,19.19
365126,19.01,19.19
366124,19.08,13.30
367121,19.01,13.30
368117,18.97,0.00
369115,18.84,0.00
370112,18.84,0.00
371109,18.84,0.00
372107,18.70,0.00
373103,18.70,0.00
374100,18.67,0.00
375098,18.57,0.00
376095,18.60,0.00
377092,18.54,0.00
378089,18.57,0.00
379086,18.47,0.00
380084,18.50,0.00
381081,18.47,0.00
382077,18.43,0.00
383075,18.50,0.00
384072,18.43,0.00
385070,18.40,0.00
386066,18.50,0.00
387063,18.47,0.00
388061,18.50,0.00
389058,18.43,0.00
390055,18.50,0.00
391052,18.50,0.00
392049,18.47,0.00
393047,18.54,0.00
394044,18.54,0.00
395040,18.50,0.00
396038,18.54,0.00
397035,18.57,0.00
398032,18.54,0.00
399030,18.60,0.00
400026,18.60,0.00
401024,18.64,0.00
402021,18.64,0.00
403018,18.67,0.00
404015,18.64,0.00
405012,18.67,0.00
406009,18.67,0.00
407007,18.74,0.00
408004,18.70,0.00
409000,18.77,0.00
409998,18.70,0.00
410995,18.77,0.00
411993,18.81,0.00
412989,18.81,0.00
413986,18.81,0.00
414984,18.81,0.00
415981,18.81,0.00
416978,18.91,0.00
417975,18.87,0.00
418972,18.87,0.00
